Date,Open,High,Low,Close,Adj Close,Volume
2004-11-24,1810.400024,1826.189941,1810.400024,1826.189941,1825.720459,0
2004-11-25,1826.420044,1830.260010,1806.449951,1814.500000,1814.033569,0
2004-11-26,1814.939941,1818.599976,1809.369995,1814.099976,1813.633667,0
2004-11-29,1814.099976,1814.099976,1814.099976,1814.099976,1813.633667,0
2004-11-30,1814.079956,1841.109985,1814.079956,1830.959961,1830.489258,0
2004-12-01,1828.060059,1828.910034,1813.040039,1816.469971,1816.003052,0
2004-12-02,1816.469971,1825.689941,1814.469971,1816.989990,1816.522827,0
2004-12-03,1816.989990,1816.989990,1816.989990,1816.989990,1816.522827,0
2004-12-06,1813.130005,1813.130005,1793.939941,1803.369995,1802.906372,0
2004-12-07,1802.079956,1808.969971,1796.069946,1799.079956,1798.617432,0
2004-12-08,1797.430054,1801.180054,1794.099976,1801.180054,1800.717041,0
2004-12-09,1797.579956,1798.739990,1786.310059,1793.680054,1793.218994,0
2004-12-10,1792.739990,1792.739990,1753.469971,1753.469971,1753.019165,0
2004-12-13,1753.469971,1759.209961,1746.979980,1748.329956,1747.880493,0
2004-12-14,1756.760010,1778.670044,1755.500000,1775.729980,1775.273438,0
2004-12-15,1779.209961,1796.719971,1776.739990,1794.890015,1794.428589,0
2004-12-16,1805.310059,1823.469971,1804.770020,1820.819946,1820.351807,0
2004-12-17,1820.099976,1822.760010,1806.040039,1806.329956,1805.865601,0
2004-12-20,1805.959961,1808.869995,1783.150024,1786.250000,1785.790771,0
2004-12-21,1786.150024,1787.790039,1772.810059,1775.449951,1774.993530,0
2004-12-22,1772.430054,1789.739990,1772.430054,1789.739990,1789.279907,0
2004-12-23,1790.030029,1814.040039,1790.030029,1807.489990,1807.025391,0
2004-12-24,1807.489990,1807.489990,1807.489990,1807.489990,1807.025391,0
2004-12-27,1807.489990,1807.489990,1807.489990,1807.489990,1807.025391,0
2004-12-28,1825.010010,1835.959961,1823.689941,1825.979980,1825.510620,0
2004-12-29,1828.050049,1832.150024,1814.880005,1822.829956,1822.361328,0
2004-12-30,null,null,null,null,null,null
2004-12-31,null,null,null,null,null,null
2005-01-03,1822.949951,1846.900024,1822.949951,1846.900024,1846.425293,0
2005-01-04,1846.900024,1875.599976,1846.900024,1873.069946,1872.588379,0
2005-01-05,1871.489990,1875.489990,1864.390015,1875.369995,1874.887939,0
2005-01-06,1875.680054,1879.199951,1854.290039,1859.800049,1859.321899,0
2005-01-07,1858.199951,1859.599976,1849.709961,1851.780029,1851.303955,0
2005-01-10,1851.520020,1854.319946,1838.930054,1840.469971,1839.996826,0
2005-01-11,1840.189941,1854.420044,1840.189941,1845.829956,1845.355469,0
2005-01-12,1837.390015,1837.390015,1811.040039,1820.569946,1820.101929,0
2005-01-13,1820.569946,1865.109985,1820.569946,1865.109985,1864.630493,0
2005-01-14,1863.959961,1877.069946,1862.089966,1876.030029,1875.547729,0
2005-01-17,1878.250000,1914.739990,1878.250000,1909.180054,1908.689209,0
2005-01-18,1905.540039,1911.500000,1901.439941,1905.449951,1904.960083,0
2005-01-19,1914.260010,1946.890015,1914.260010,1946.890015,1946.389526,0
2005-01-20,1951.550049,1956.819946,1944.859985,1956.819946,1956.316895,0
2005-01-21,1957.579956,1987.839966,1950.939941,1987.839966,1987.328979,0
2005-01-24,1986.939941,2020.890015,1983.599976,2015.250000,2014.731934,0
2005-01-25,2015.250000,2015.250000,1978.589966,1990.290039,1989.778442,0
2005-01-26,1988.609985,1993.550049,1967.550049,1970.280029,1969.773560,0
2005-01-27,1969.739990,1992.579956,1969.510010,1991.390015,1990.878052,0
2005-01-28,1991.390015,2023.660034,1991.390015,2014.609985,2014.092041,0
2005-01-31,2013.380005,2024.079956,2007.130005,2019.560059,2019.040894,0
2005-02-01,2016.329956,2016.329956,1988.000000,1992.459961,1991.947754,0
2005-02-02,1991.619995,1994.400024,1982.449951,1989.650024,1989.138550,0
2005-02-03,1999.189941,2006.719971,1998.500000,2000.219971,1999.705811,0
2005-02-04,2000.219971,2007.369995,1989.939941,1995.569946,1995.056885,0
2005-02-07,2001.579956,2018.619995,2001.579956,2016.839966,2016.321533,0
2005-02-08,2018.290039,2039.569946,2018.290039,2030.079956,2029.558105,0
2005-02-09,2031.640015,2036.560059,2018.339966,2028.859985,2028.338379,0
2005-02-10,2033.949951,2054.629883,2033.949951,2048.239990,2047.713379,0
2005-02-11,2050.209961,2066.399902,2050.209961,2061.479980,2060.949951,0
