Date,Open,High,Low,Close,Adj Close,Volume
2012-04-09,5038.919922,5097.299805,4990.750000,5097.299805,5095.989258,381100
2012-04-16,5097.299805,5219.290039,5070.759766,5156.459961,5155.134277,490200
2012-04-23,5160.720215,5247.140137,5133.259766,5169.049805,5167.721191,962600
2012-04-30,5185.060059,5329.759766,5180.569824,5297.549805,5296.187988,482900
2012-05-07,5276.049805,5276.759766,5150.410156,5158.140137,5156.813965,610800
2012-05-14,5157.620117,5164.020020,4863.419922,4879.419922,4878.165527,578900
2012-05-21,4883.839844,5026.450195,4883.839844,4925.970215,4924.704102,279200
2012-05-28,4925.560059,5095.129883,4923.459961,5062.439941,5061.138672,322200
2012-06-04,5008.529785,5044.589844,4890.200195,4994.069824,4992.786133,281100
2012-06-11,4997.120117,5109.640137,4929.879883,4930.629883,4929.362305,341400
2012-06-18,4996.520020,5156.919922,4996.520020,5120.069824,5118.753418,603000
2012-06-25,5144.910156,5285.839844,5144.910156,5246.410156,5245.061523,821300
2012-07-02,5278.279785,5403.160156,5278.279785,5362.680176,5361.301758,748700
2012-07-09,5352.250000,5352.250000,5190.299805,5214.520020,5213.179688,310500
2012-07-16,5217.549805,5297.990234,5179.350098,5210.890137,5209.550781,295300
2012-07-23,5210.540039,5219.549805,5116.549805,5219.549805,5218.208008,341000
2012-07-30,5220.290039,5325.759766,5220.290039,5285.910156,5284.551270,290100
2012-08-06,5286.560059,5330.250000,5230.859863,5263.350098,5261.997070,319400
2012-08-13,5261.959961,5284.160156,5201.089844,5206.810059,5205.471680,289500
2012-08-20,5206.810059,5206.810059,5125.890137,5143.350098,5142.027832,182200
2012-08-27,5143.350098,5198.330078,5114.950195,5196.189941,5194.854004,207800
2012-09-03,5200.120117,5221.290039,5148.560059,5201.319824,5199.982910,261700
2012-09-10,5201.919922,5334.040039,5177.399902,5322.470215,5321.102051,367700
2012-09-17,5361.770020,5367.839844,5284.609863,5292.060059,5290.699707,422100
2012-09-24,5294.009766,5346.100098,5276.839844,5346.100098,5344.725586,326000
2012-10-01,5344.819824,5484.629883,5305.399902,5439.839844,5438.441406,826700
2012-10-08,5440.009766,5449.569824,5353.470215,5369.720215,5368.339844,429300
2012-10-15,5366.919922,5460.919922,5360.910156,5432.359863,5430.963379,421400
2012-10-22,5432.279785,5442.939941,5383.899902,5405.160156,5403.770508,219400
2012-10-29,5404.790039,5447.729980,5393.990234,5424.509766,5423.115234,266300
2012-11-05,5428.259766,5483.930176,5402.399902,5468.790039,5467.384277,422100
2012-11-12,5466.359863,5488.919922,5406.069824,5439.279785,5437.881348,423200
2012-11-19,5436.669922,5579.180176,5434.970215,5552.339844,5550.912598,316100
2012-11-26,5555.790039,5650.100098,5555.790039,5640.450195,5639.000000,377400
2012-12-03,5622.729980,5797.930176,5613.970215,5794.200195,5792.710449,782500
2012-12-10,5791.140137,5866.830078,5700.580078,5707.109863,5705.642578,470500
2012-12-17,5707.330078,5860.120117,5604.189941,5823.939941,5822.442871,382500
2012-12-24,5823.939941,5855.259766,5794.890137,5812.729980,5811.235840,131300
2012-12-31,5810.470215,5971.450195,5808.939941,5971.450195,5969.915039,340700
2013-01-07,5972.810059,6098.140137,5972.810059,6051.750000,6050.194336,640100
2013-01-14,6066.020020,6150.620117,6037.009766,6139.209961,6137.631836,404000
2013-01-21,6164.859863,6193.250000,6068.439941,6167.640137,6166.054688,448400
2013-01-28,6167.640137,6342.720215,6165.080078,6318.609863,6316.985352,792000
2013-02-04,6349.080078,6489.899902,6349.080078,6458.669922,6457.009766,608200
